Description,ID,Location,Sherrifs,Date
DRUG/NARCOTIC VIOLATIONS,2019-00023144,400 BLOCK E ST,San Bernardino Police,2/21/2019 20:33
ASSAULT - SIMPLE (NO MED NEEDED),2019-00023101,E ST & BASELINE ST,San Bernardino Police,2/21/2019 18:36
GTA - AUTO,190520090,25700 BLOCK BASELINE ST,Highland Police,2/21/2019 17:59
ASSAULT - AGGRAVATED,2019-00023113,MACY ST & RIALTO AVE,San Bernardino Police,2/21/2019 17:30
THEFT- MOTOR VEHICLE,2019-00026475,2600 BLOCK MILL ST,San Bernardino Police,2/21/2019 17:00
ASSAULT - AGGRAVATED,2019-00023066,600 BLOCK 5TH ST,San Bernardino Police,2/21/2019 15:33
ASSAULT - AGGRAVATED,2019-00022983,700 BLOCK HARRIS ST,San Bernardino Police,2/21/2019 12:45
THEFT- MOTOR VEHICLE,2019-00022948,1200 BLOCK BASELINE ST,San Bernardino Police,2/21/2019 10:30
THEFT- MOTOR VEHICLE,2019-00023367,600 BLOCK FOISY ST,San Bernardino Police,2/21/2019 7:00
DRUG/NARCOTIC VIOLATIONS,2019-00022837,1500 BLOCK D ST,San Bernardino Police,2/21/2019 6:03
THEFT- MOTOR VEHICLE,2019-00022830,700 BLOCK 9TH ST,San Bernardino Police,2/21/2019 5:00
THEFT - ALL OTHER,2019-00023266,2700 BLOCK PACIFIC ST,San Bernardino Police,2/21/2019 1:43
BURGLARY/BREAKING & ENTERING,2019-00022783,700 BLOCK 2ND ST,San Bernardino Police,2/21/2019 0:49
THEFT- MOTOR VEHICLE,2019-00026475,2600 BLOCK MILL ST,San Bernardino Police,2/21/2019 17:00
THEFT - ALL OTHER,2019-00023036,500 BLOCK J ST,San Bernardino Police,2/21/2019 0:00
ASSAULT - AGGRAVATED,2019-00022785,1300 BLOCK E ST,San Bernardino Police,2/21/2019 0:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00022767,200 BLOCK 4TH ST,San Bernardino Police,2/20/2019 23:35
